Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Paratyphi infection§, Cum 2018†","Salmonella Paratyphi infection§, Cum 2018†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶,Previous 52 weeks Max†","Salmonella Typhi infection¶,Previous 52 weeks Max†, flag","Salmonella Typhi infection, Cum 2019†","Salmonella Typhi infection, Cum 2019†, flag","Salmonella Typhi infection, Cum 2018†","Salmonella Typhi infection, Cum 2018†, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Current week","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Current week, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2019†","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2019†, flag","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**), Cum 2018†","Salmonellosis (excluding Salmonella Paratyphi infection and Salmonella Typhoid infection**, Cum 2018†, flag",Location 1,Location 2
NEVADA,2019,5,,-,,NC,,-,,NN,,-,,NC,1,,,NN,,-,,NC,2,,,NN,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,10,,,NN,"NEW MEXICO
(34.520396, -106.244402)",
DELAWARE,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DELAWARE
(39.008676, -75.574561)",
SOUTH DAKOTA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH DAKOTA
(44.35371, -100.373709)",
KENTUCKY,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KENTUCKY
(37.64591, -84.774043)",
UTAH,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"UTAH
(39.359772, -111.584173)",
MASSACHUSETTS,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MASSACHUSETTS
(42.268546, -72.085064)",
CALIFORNIA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"CALIFORNIA
(37.640735, -121.002435)",
NORTH DAKOTA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH DAKOTA
(47.475879, -100.121011)",
VIRGINIA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VIRGINIA
(37.542699, -78.45822)",
MONTANA,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MONTANA
(47.062617, -109.430168)",
WISCONSIN,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WISCONSIN
(44.395526, -89.834513)",
VERMONT,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VERMONT
(43.622479, -72.51927)",
ARKANSAS,2019,5,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ARKANSAS
(34.748745, -92.275105)",
US RESIDENTS,2019,6,,-,,NC,3,,,NN,,-,,NC,3,,,NN,45,,,NC,447,,,NN,,US RESIDENTS
NEW ENGLAND,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,1,,,NC,37,,,NN,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,NEW YORK CITY
EAST NORTH CENTRAL,2019,6,,-,,NC,,-,,NN,,-,,NC,1,,,NN,13,,,NC,107,,,NN,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,7,,,NC,50,,,NN,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,6,,-,,NC,1,,,NN,,-,,NC,1,,,NN,7,,,NC,75,,,NN,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,4,,,NC,42,,,NN,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,3,,,NN,,WEST SOUTH CENTRAL
MOUNTAIN,2019,6,,-,,NC,2,,,NN,,-,,NC,1,,,NN,13,,,NC,123,,,NN,,MOUNTAIN
PACIFIC,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,10,,,NN,,PACIFIC
US TERRITORIES,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,US TERRITORIES
AMERICAN SAMOA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,AMERICAN SAMOA
NON-US RESIDENTS,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,NON-US RESIDENTS
TOTAL,2019,6,,-,,NC,3,,,NN,,-,,NC,3,,,NN,45,,,NC,447,,,NN,,TOTAL
NEW MEXICO,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,1,,,NC,15,,,NN,"NEW MEXICO
(34.520396, -106.244402)",
ARKANSAS,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ARKANSAS
(34.748745, -92.275105)",
PENNSYLVANIA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PENNSYLVANIA
(40.789676, -77.858055)",
SOUTH CAROLINA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH CAROLINA
(34.009286, -81.037094)",
OREGON,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OREGON
(44.567912, -120.156945)",
MONTANA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,8,,,NN,"MONTANA
(47.062617, -109.430168)",
MICHIGAN,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MICHIGAN
(44.66399, -84.711206)",
WISCONSIN,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WISCONSIN
(44.395526, -89.834513)",
DISTRICT OF COLUMBIA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
PUERTO RICO,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PUERTO RICO
(18.215692, -66.414655)",
CONNECTICUT,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,23,,,NN,"CONNECTICUT
(41.544654, -72.651713)",
VIRGINIA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,7,,,NN,"VIRGINIA
(37.542699, -78.45822)",
OKLAHOMA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OKLAHOMA
(35.468494, -97.521264)",
NORTH DAKOTA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH DAKOTA
(47.475879, -100.121011)",
DELAWARE,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DELAWARE
(39.008676, -75.574561)",
OHIO,2019,6,,-,,NC,,-,,NN,,-,,NC,1,,,NN,13,,,NC,107,,,NN,"OHIO
(40.056807, -82.405897)",
MARYLAND,2019,6,,-,,NC,1,,,NN,,-,,NC,1,,,NN,7,,,NC,68,,,NN,"MARYLAND
(39.290443, -76.612333)",
CALIFORNIA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"CALIFORNIA
(37.640735, -121.002435)",
MAINE,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,1,,,NC,6,,,NN,"MAINE
(45.252223, -68.986647)",
INDIANA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"INDIANA
(39.76845, -86.156212)",
NEW JERSEY,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW JERSEY
(40.104655, -74.386686)",
KANSAS,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KANSAS
(38.345528, -98.201847)",
TENNESSEE,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TENNESSEE
(35.681402, -85.774444)",
NORTH CAROLINA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH CAROLINA
(35.47995, -79.180571)",
ILLINOIS,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ILLINOIS
(40.477092, -88.993221)",
ARIZONA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,6,,,NC,80,,,NN,"ARIZONA
(34.869712, -111.760902)",
UTAH,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"UTAH
(39.359772, -111.584173)",
ALASKA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ALASKA
(64.836661, -147.738891)",
IDAHO,2019,6,,-,,NC,2,,,NN,,-,,NC,,-,,NN,6,,,NC,18,,,NN,"IDAHO
(43.680635, -114.364237)",
MISSOURI,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,7,,,NC,50,,,NN,"MISSOURI
(38.636168, -92.566292)",
MASSACHUSETTS,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MASSACHUSETTS
(42.268546, -72.085064)",
RHODE ISLAND,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"RHODE ISLAND
(41.707447, -71.522488)",
GUAM,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GUAM
(13.3532, 144.653198)",
SOUTH DAKOTA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH DAKOTA
(44.35371, -100.373709)",
IOWA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"IOWA
(42.46942, -93.815856)",
VERMONT,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VERMONT
(43.622479, -72.51927)",
COLORADO,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"COLORADO
(38.841772, -106.132562)",
TEXAS,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TEXAS
(31.827233, -99.423022)",
FLORIDA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"FLORIDA
(28.915325, -81.922409)",
WEST VIRGINIA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WEST VIRGINIA
(38.668501, -80.709421)",
LOUISIANA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,3,,,NN,"LOUISIANA
(31.2931, -92.463284)",
NORTHERN MARIANA ISLANDS,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
HAWAII,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,10,,,NN,"HAWAII
(21.30992, -157.858158)",
NEW HAMPSHIRE,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,8,,,NN,"NEW HAMPSHIRE
(43.657736, -71.500736)",
GEORGIA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GEORGIA
(32.836038, -83.631709)",
MISSISSIPPI,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MISSISSIPPI
(32.738663, -89.537312)",
U.S. VIRGIN ISLANDS,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ALABAMA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,4,,,NC,42,,,NN,"ALABAMA
(32.839182, -86.631125)",
NEBRASKA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEBRASKA
(41.640503, -99.367122)",
WASHINGTON,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WASHINGTON
(47.517368, -120.467672)",
WYOMING,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WYOMING
(43.23558, -108.110518)",
NEVADA,2019,6,,-,,NC,,-,,NN,,-,,NC,1,,,NN,,-,,NC,2,,,NN,"NEVADA
(39.491833, -117.070159)",
NEW YORK,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW YORK
(42.826892, -75.544286)",
KENTUCKY,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KENTUCKY
(37.64591, -84.774043)",
MINNESOTA,2019,6,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MINNESOTA
(46.357661, -94.793397)",
US RESIDENTS,2019,7,,-,,NC,5,,,NN,1,,,NC,6,,,NN,50,,,NC,554,,,NN,,US RESIDENTS
NEW ENGLAND,2019,7,,-,,NC,,-,,NN,,-,,NC,1,,,NN,1,,,NC,47,,,NN,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,NEW YORK CITY
EAST NORTH CENTRAL,2019,7,,-,,NC,,-,,NN,,-,,NC,1,,,NN,13,,,NC,120,,,NN,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,7,,,NC,58,,,NN,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,7,,-,,NC,2,,,NN,1,,,NC,3,,,NN,19,,,NC,130,,,NN,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,2,,,NC,48,,,NN,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,7,,-,,NC,1,,,NN,,-,,NC,,-,,NN,,-,,NC,3,,,NN,,WEST SOUTH CENTRAL
MOUNTAIN,2019,7,,-,,NC,2,,,NN,,-,,NC,1,,,NN,8,,,NC,138,,,NN,,MOUNTAIN
PACIFIC,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,10,,,NN,,PACIFIC
US TERRITORIES,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,US TERRITORIES
AMERICAN SAMOA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,AMERICAN SAMOA
NON-US RESIDENTS,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,NON-US RESIDENTS
TOTAL,2019,7,,-,,NC,5,,,NN,1,,,NC,6,,,NN,50,,,NC,554,,,NN,,TOTAL
ARKANSAS,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ARKANSAS
(34.748745, -92.275105)",
MONTANA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,8,,,NN,"MONTANA
(47.062617, -109.430168)",
PENNSYLVANIA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSISSIPPI,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MISSISSIPPI
(32.738663, -89.537312)",
NEBRASKA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEBRASKA
(41.640503, -99.367122)",
WYOMING,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WYOMING
(43.23558, -108.110518)",
LOUISIANA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,3,,,NN,"LOUISIANA
(31.2931, -92.463284)",
RHODE ISLAND,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"RHODE ISLAND
(41.707447, -71.522488)",
VERMONT,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VERMONT
(43.622479, -72.51927)",
VIRGINIA,2019,7,,-,,NC,1,,,NN,1,,,NC,2,,,NN,12,,,NC,55,,,NN,"VIRGINIA
(37.542699, -78.45822)",
TEXAS,2019,7,,-,,NC,1,,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TEXAS
(31.827233, -99.423022)",
OHIO,2019,7,,-,,NC,,-,,NN,,-,,NC,1,,,NN,13,,,NC,120,,,NN,"OHIO
(40.056807, -82.405897)",
MINNESOTA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MINNESOTA
(46.357661, -94.793397)",
DELAWARE,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DELAWARE
(39.008676, -75.574561)",
COLORADO,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"COLORADO
(38.841772, -106.132562)",
ALASKA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ALASKA
(64.836661, -147.738891)",
UTAH,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"UTAH
(39.359772, -111.584173)",
MARYLAND,2019,7,,-,,NC,1,,,NN,,-,,NC,1,,,NN,7,,,NC,75,,,NN,"MARYLAND
(39.290443, -76.612333)",
IOWA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"IOWA
(42.46942, -93.815856)",
DISTRICT OF COLUMBIA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KANSAS,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KANSAS
(38.345528, -98.201847)",
NEW YORK,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW YORK
(42.826892, -75.544286)",
MASSACHUSETTS,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MASSACHUSETTS
(42.268546, -72.085064)",
OKLAHOMA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OKLAHOMA
(35.468494, -97.521264)",
IDAHO,2019,7,,-,,NC,2,,,NN,,-,,NC,,-,,NN,3,,,NC,22,,,NN,"IDAHO
(43.680635, -114.364237)",
NEW JERSEY,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW JERSEY
(40.104655, -74.386686)",
U.S. VIRGIN ISLANDS,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW MEXICO,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,1,,,NC,21,,,NN,"NEW MEXICO
(34.520396, -106.244402)",
HAWAII,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,10,,,NN,"HAWAII
(21.30992, -157.858158)",
WASHINGTON,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WASHINGTON
(47.517368, -120.467672)",
ALABAMA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,2,,,NC,48,,,NN,"ALABAMA
(32.839182, -86.631125)",
NEVADA,2019,7,,-,,NC,,-,,NN,,-,,NC,1,,,NN,,-,,NC,2,,,NN,"NEVADA
(39.491833, -117.070159)",
MAINE,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,8,,,NN,"MAINE
(45.252223, -68.986647)",
MICHIGAN,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"MICHIGAN
(44.66399, -84.711206)",
CALIFORNIA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"CALIFORNIA
(37.640735, -121.002435)",
NORTH CAROLINA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH CAROLINA
(35.47995, -79.180571)",
OREGON,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"OREGON
(44.567912, -120.156945)",
NORTH DAKOTA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTH DAKOTA
(47.475879, -100.121011)",
NORTHERN MARIANA ISLANDS,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ARIZONA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,4,,,NC,85,,,NN,"ARIZONA
(34.869712, -111.760902)",
GEORGIA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GEORGIA
(32.836038, -83.631709)",
PUERTO RICO,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"PUERTO RICO
(18.215692, -66.414655)",
NEW HAMPSHIRE,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,1,,,NC,10,,,NN,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"ILLINOIS
(40.477092, -88.993221)",
FLORIDA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"FLORIDA
(28.915325, -81.922409)",
CONNECTICUT,2019,7,,-,,NC,,-,,NN,,-,,NC,1,,,NN,,-,,NC,29,,,NN,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH DAKOTA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH DAKOTA
(44.35371, -100.373709)",
INDIANA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"INDIANA
(39.76845, -86.156212)",
SOUTH CAROLINA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"SOUTH CAROLINA
(34.009286, -81.037094)",
KENTUCKY,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"KENTUCKY
(37.64591, -84.774043)",
TENNESSEE,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WISCONSIN
(44.395526, -89.834513)",
MISSOURI,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,7,,,NC,58,,,NN,"MISSOURI
(38.636168, -92.566292)",
GUAM,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"GUAM
(13.3532, 144.653198)",
WEST VIRGINIA,2019,7,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"WEST VIRGINIA
(38.668501, -80.709421)",
US RESIDENTS,2019,8,,-,,NC,6,,,NN,1,,,NC,8,,,NN,69,,,NC,720,,,NN,,US RESIDENTS
NEW ENGLAND,2019,8,,-,,NC,,-,,NN,,-,,NC,2,,,NN,6,,,NC,55,,,NN,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,8,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,8,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,NEW YORK CITY
EAST NORTH CENTRAL,2019,8,,-,,NC,,-,,NN,,-,,NC,1,,,NN,14,,,NC,134,,,NN,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,8,,-,,NC,,-,,NN,,-,,NC,,-,,NN,3,,,NC,71,,,NN,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,8,,-,,NC,3,,,NN,1,,,NC,4,,,NN,13,,,NC,150,,,NN,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,8,,-,,NC,,-,,NN,,-,,NC,,-,,NN,1,,,NC,59,,,NN,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,8,,-,,NC,1,,,NN,,-,,NC,,-,,NN,9,,,NC,53,,,NN,,WEST SOUTH CENTRAL
MOUNTAIN,2019,8,,-,,NC,2,,,NN,,-,,NC,1,,,NN,23,,,NC,187,,,NN,,MOUNTAIN
PACIFIC,2019,8,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,11,,,NN,,PACIFIC
US TERRITORIES,2019,8,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,US TERRITORIES
AMERICAN SAMOA,2019,8,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,AMERICAN SAMOA
NON-US RESIDENTS,2019,8,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,NON-US RESIDENTS
TOTAL,2019,8,,-,,NC,6,,,NN,1,,,NC,8,,,NN,69,,,NC,720,,,NN,,TOTAL
ARIZONA,2019,8,,-,,NC,,-,,NN,,-,,NC,,-,,NN,21,,,NC,122,,,NN,"ARIZONA
(34.869712, -111.760902)",
NEW YORK,2019,8,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,,-,,NN,"NEW YORK
(42.826892, -75.544286)",
TENNESSEE,2019,8,,-,,NC,,-,,NN,,-,,NC,,-,,NN,,-,,NC,3,,,NN,"TENNESSEE
(35.681402, -85.774444)",
